songId,title,artist,genre,album,lyricist,composer,date,img,comment,like,lyric,plylstSeq
33120545,Panorama,IZ*ONE (아이즈원),댄스,One-reeler / Act IV,KZ,비오 (B.O.),20201207,https://cdnimg.melon.co.kr/cm2/album/images/105/30/160/10530160_20201207160115_500.jpg?d63ad158584d7737ddd43a3f34d74a68/melon/resize/282/quality/80/optimize,2402,97633,"Shoot! Take a Panorama
바람 끝에 찾아온 작은 기억
귓가에 퍼지는 깊은 울림 Ring my bell
아름다운 내 맘을 한가득 담아서
조금씩 은은히 줄거야
너와 나 손끝이 닿을 때 Eyes on me
내 맘이 들린다면 더 크게 외쳐줘
조용히 시작된 한편의 Drama야
간직했던 조각들을 펼쳐
다시 한번 지나가는 그때 계절의 풍경
못다 한 우리 이야기
꿈일까 싶어 멈추지 않게 
두 눈을 감고 느껴봐 이 순간
Shoot! Take a Panorama
깊은 어둠 속 빛나는 별처럼
우린 어디서든 서로 알아볼 수 있어
눈부신 Spotlight 너와 나 그 맘 속에
영원히 피어날 찬란한 이 순간
Like Like a Panorama
끝도 없이 두근대
내 맘 변하지 않아 지금 같이 가자
너에게만 보여줄게 끝도 없는 Fantasia
내 맘 휘 휘감아 Panorama
기억의 문을 열어 저 푸른 언덕 위에 
무지개 집으로 초대할게 밤에는 Campfire
아쉬움 남지 않게 내게 전부 보여줘
빛으로 물든 지금 영원해
너의 꿈에 데려가 줘 Take on me
작은 숨결 하나하나 놓치기 싫은 걸
다 담아 둘 거야 너무나 특별해서
네 눈 속에 반짝이는 Starlight
다시 한번 지나가는 그때 계절의 풍경
못다 한 우리 이야기
꿈일까 싶어 멈추지 않게
두 눈을 감고 느껴봐 이 순간
Shoot! Take a Panorama
깊은 어둠 속 빛나는 별처럼
우린 어디서든 서로 알아볼 수 있어
눈부신 Spotlight 너와 나 그 맘 속에
영원히 피어날 찬란한 이 순간
Like Like a Panorama
끝도 없이 두근대
내 맘 변하지 않아 지금 같이 가자
너에게만 보여줄게 끝도 없는 Fantasia
내 맘 휘 휘감아 Panorama
바라봐 줘 언제나 언제나 하나 될 우리
처음 만난 그 순간처럼 가슴이 두근대
우린 끝없이 연결돼 있는 걸
이제 같이 날아가
깊은 어둠 속 빛나는 별처럼
우린 어디서든 서로 알아볼 수 있어
눈부신 Spotlight 너와 나 그 맘 속에
영원히 피어날 찬란한 이 순간
Like Like a Panorama
하늘 넘어 날아가
온 세상에 이 목소리 퍼지게
찰나의 순간 떠올라 다 보여줄 거야
영원히 기억해 약속
Don't let me down Down Down",478102836 510005497
8153410,예쁘다,세븐틴 (SEVENTEEN),댄스,SEVENTEEN 1st Album First 'LOVE&LETTER',WOOZI (SEVENTEEN),BUMZU,20160425,https://cdnimg.melon.co.kr/cm/album/images/026/80/682/2680682_500.jpg?cde46cb9eb41b1cb1320c66b74e4f912/melon/resize/282/quality/80/optimize,461,141264,"할 말이 많은데
정리가 잘 안돼
도와줘 SOS
하나 둘 셋 넷
어떤 표현법을
써야만 내 맘이 전해질까
마음을 꺼내서 너에게 복사해
붙여야 하는 건가
어느 멋진 날에
나에게 짠하고 나타나선
내 맘을 취하고
시선을 빼앗고 넌 욕심쟁이
내가 하고 싶었던 말은
Don't take this the wrong way
But 너 말곤 안 보여
You'r so ice ice baby
At the same time 넌 날 녹여
Just can't get enough
날 너에게 숨김 없이
보여주고 싶어
우린 서로를 선택했고
나노 단위로 집중해
널 볼 때 난 숨이 체할 것 같아 
평소엔 안 그러는데
예쁜 말 모두 모아서
따다 주고 싶은데
너 앞에 서면 자꾸 들어가는 말 
새벽에 물을 마시면서
혼자 다짐해 나는 너에게
턱 끝까지 차 올랐던 그 말을
내일 꼭 하겠어
너 예쁘다
감기에는 약
배고프면 밥
너 에는 나
처럼 사전에 널 찾으면
나로 정의됐음 좋겠단 말이야
근데 오늘은 대체
어떻게 해야 돼
인터넷에다 물어볼까
어떤 옷 또 어떤 곳
공부를 이렇게나 해볼 걸
우린 서로를 선택했고
나노 단위로 집중해
널 볼 때 난 숨이 체할 것만 같아
평소엔 안 그러는데
예쁜 말 모두 모아서
따다 주고 싶은데
너 앞에 서면 자꾸 들어가는 말 
새벽에 물을 마시면서
혼자 다짐해 나는 너에게
턱 끝까지 차 올랐던 그 말을
내일 꼭 하겠어
너 예쁘다
I can't take it no more
할말은 있는데
I can't take it no more
지금 하려고 해
I can't take it no more
편지를 쓰려다가
I can't take it no more
못 참겠어
Baby you're my lady
너의 마음속을
달려가는 중인데
Baby 이제 거의 다 왔어
하
하
새벽에 물을 마시면서
혼자 다짐해 나는 너에게
영화처럼 달콤하고 예쁜 그 말 
몇 날 며칠 밤새 연습했던 그 말 
내일은 꼭 두 주먹을 꽉 쥐고
말 해주고 싶어
너 예쁘다
Does she love me
Does she love me not
하루 종일 세고 있어 꽃잎만
Does she love me
Does she love me not
꽃잎은 내게 어떤 답을 전해 줄까",478102836 509588891
30367365,BLUE MOON (Prod. GroovyRoom),효린,댄스,BLUE MOON,서지음,창모 (CHANGMO),20170414,https://cdnimg.melon.co.kr/cm/album/images/100/55/259/10055259_500.jpg?1961712f64a969b21161de0cf336ee7a/melon/resize/282/quality/80/optimize,725,193635,"어서 날 알아보길 바래 
나 없는 넌 안 되겠다고 말해 
깨고 또 깨어나도 
반복되는 깊고 슬픈 꿈 
내 머릴 쓰다듬고 
이제 괜찮다고 말해 
메마른 너의 눈빛은 
make me crazy 
둘 사이 파랗고 위태로운 
다리를 건너 
나밖에 몰랐었던 너 
사랑이 전부였던 나 
그곳으로 난 돌아가길 바래 
날 끌어당겨 작은 틈도 없게 해줘
네게 안겨 지친 맘을 쉬고 싶어
발이 땅에 닿지 않는 이별 위를 
혼자 허우적대며 걷지 않게 해줘 
I walk on the moon in the air 
I walk on the moon in the air 
바닥 출신의 신사가 널 원해 
이 신사는 never leave you lonely 
오늘 낮 오늘 밤 아 오늘 다 
너한테 내줄래 무료로 다 전세 
내 동네로 와 도시를 나와줘 
도시의 공주님 나에게 맡겨 널 
걱정 마 돈 벌어 구매할래 니 시간 
말 안 할랬는데 
내가 스타래 서울시가 
널 탐하는 남자는 villain 
영웅은 단번에 악당을 killin 
야망이 가득한 난 그 후 널 안고 
총 모양 오른손을 한 채로 1llin 
Baby girl 나와 그댄 어려 
시간은 많잖아 
나와 몇 억 초를 세버려 
Mooooah 오늘뿐여도 yes 
죽을 때까지라면 더 yes princess 
날 끌어당겨 작은 틈도 없게 해줘
네게 안겨 지친 맘을 쉬고 싶어
발이 땅에 닿지 않는 이별 위를
혼자 허우적대며 걷지 않게 해줘
I walk on the moon in the air
I walk on the moon in the air
I walk on the moon in the air
I walk on the moon in the air",478102836 411111859
30512671,빨간 맛 (Red Flavor),Red Velvet (레드벨벳),댄스,The Red Summer - Summer Mini Album,KENZIE,Daniel Caesar,20170709,https://cdnimg.melon.co.kr/cm/album/images/100/77/879/10077879_500.jpg?c681fcf660d2b6b017c258593395db1b/melon/resize/282/quality/80/optimize,2786,232803,"빨간 맛 궁금해 Honey
깨물면 점점 녹아든 스트로베리 그 맛
코너 캔디 샵 찾아 봐 Baby
내가 제일 좋아하는 건 여름 그 맛
야자나무 그늘 아래 졸고 싶고
뜨거운 여름밤의 바람은 불고
너무 쉽게 사랑 빠져 버릴 나인틴
우린 제법 어울리고 또 멋져
좋아 첫눈에 반해 버린
네가 자꾸만 생각나
내 방식대로 갈래
빨간 맛 궁금해 Honey
깨물면 점점 녹아든 스트로베리 그 맛
코너 캔디 샵 찾아 봐 Baby
내가 제일 좋아하는 건 여름 그 맛
일곱 개의 무지갯빛 문을 열어
너의 세상은 짜릿해 멋있어
태양보다 빨간 네 사랑의 색깔
내가 가질래 내 멋대로 할래
날 봐 넌 뭘 생각하는데
오늘 뭘 할 수 있을까
내 맘대로 상상해
빨간 맛 궁금해 Honey
깨물면 점점 녹아든 스트로베리 그 맛
코너 캔디 샵 찾아 봐 Baby
내가 제일 좋아하는 건 여름 그 맛
복숭아 주스 스윗 앤 사워 믹스 Mood 
네게 주고픈 칵테일을 Brew RED
귓속이 쨍 코가 맹
상상 그 이상 기분 Up and bang RED
Bet you wanna 
bet you wanna dance like this
외쳐보자 좋아해요 솔직히
긴장해 땀이 뚝뚝 귀엽지
사랑에 빠져 그을려 우린 RED RED Ah
말 안 해도 알아주면 안 돼
내 맘은 더 커져 가는데
다 흘려버린 아이스크림같이
이러다 녹을지 몰라
그러니 말해 그래 그래 말해 
그러니 말해 그래 그래 말해 
너의 색깔로
날 물들여줘 더 진하게 강렬하게
빨간 맛 궁금해 Honey
깨물면 점점 녹아든 스트로베리 그 맛
코너 캔디 샵 찾아 봐 Baby
내가 제일 좋아하는 건 여름 그 맛
내가 제일 좋아하는 건 여름의 너",478102836 411111859
33331004,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭,댄스,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",김이나,김건우,20210305,https://cdnimg.melon.co.kr/cm2/album/images/105/73/486/10573486_20210304202053_500.jpg?bdfa828b24cd168b9a0465fd86baf453/melon/resize/282/quality/80/optimize,807,120367,"참 많이 궁금해
전부 다 궁금해
왜 잠이 안 오고 네 얼굴만 보여
나도 궁금해
이 맘이 궁금해
왜 너만 보면 웃음이 먼저 나와
친구들 모여서
네 말이 나오면
왜 내가 들떠서 더 듣고 싶은지
너만 있으면
난 딴 사람이 돼
또 뜬금없는
어색한 농담을 늘 해
사실 난 이 느낌이 이상해
구름 위가 있다면 여기일까
혹시 그런 걸까
너와 나 그런 걸까
내 맘과 같다면
시작돼 버린 걸까
너를 많이 많이 좋아해
너를 나 사랑하게 됐나 봐
똑같이 말하고 싶은데
내가 그래도 될까 좀 더 기다려볼까
나도 많이 많이 좋아해
사실 난 이런 맘이 처음인데
더 기다려줄게
더 기다려줄래
난 여기 있을게
여기 있어줄래
우리는 이미 같은 맘인걸
내 뭐가 좋은지
난 그게 궁금해
언제부터 내가 네 맘에 살았니
나도 궁금해 Yeah
네 맘이 궁금해 Yeah
싫지 않은 게 아니라 좋은 거지
예쁜 여자들은 No
참 많고 많은데 No
넌 정말 나밖에 안 보이는 건지
멋진 남자들 누구
네 곁에 많은데 어디
어떻게 네가 내게로 오는 거니 Girl
사실 난 우릴 자꾸 상상해 상상해
이런 기분 어쩐지 수상해
같은 하늘 아래 같은 하늘 아래서
같은 생각을 하고
똑같은 말 이제 해도 될 것 같은데
너를 많이 많이 좋아해
너를 나 사랑하게 됐나 봐
똑같이 말하고 싶은데
내가 그래도 될까 좀 더 기다려볼까
나도 많이 많이 좋아해
사실 난 이런 맘이 처음인데
더 기다려줄게
더 기다려줄래
난 여기 있을게
여기 있어줄래
우리는 이미 같은 맘인걸
누가 좋아해 더
내가 더
그런 건 나 중요치 않은걸
나 손 내밀면
그 손 안 놓을 자신 있다면
영원히 그 손을 놓지 않을게
너를 너무너무 좋아해
사실 난 이미 너를 사랑해
똑같이 말할 수 있는데
왜 난
떨리는 건지 자꾸 망설이는지
아니 너를 너를 사랑해
이제는 내 맘 다 말해줄게
날 믿어주겠니
널 믿어볼게 난
이 사랑 안에서
이 사랑 속에서
나란히
같이 걸어가자 둘이",411111859 510682185
5748499,SHAKE IT,씨스타,댄스,SHAKE IT,이단옆차기,핫띠,20150622,https://cdnimg.melon.co.kr/cm/album/images/023/25/345/2325345_500.jpg/melon/resize/282/quality/80/optimize,163,84055,"너만을 유혹하는 춤 
우우우 우우우우
심장에 매력 발산 중 
우우우 우우우우
손끝만 스쳐도 막 쿵쿵쿵쿵 Oh
내 맘이 흔들려
Shake it shake it for me
Shake it shake it for me
나나나 나나나 나나나 
Hey
나나나 나나나 나나나 
짜릿한 이 느낌 
날 춤을 추게 해 
지금 이 순간 
Shake it
Bae bae baby
Love me love me love me now
흔들리는 내 맘 모르겠니
So let's dance
Just shake it let's dance
좀 더 핫하게 완전 와일드하게
Make it louder 우우우
더 크게 make it louder 우우우
날 자꾸 흔들어 흔들어
놀라게 흔들어
Shake it oh shake it
밤새 나와 Shake it baby
아주 fun하고 smart하게 
흔들흔들어
온몸이 찌릿찌릿 우리 둘이 
흔들흔들어
심하게 통하니 여기 불났으니
When I Move 
움직여 자리 잡았으니
Shake it shake it for me
Shake it shake it for me
나나나 나나나 나나나 
Hey
나나나 나나나 나나나 
짜릿한 이 느낌 
날 춤을 추게 해 
지금 이 순간 
Shake it
Bae bae baby
Love me love me love me now
흔들리는 내 맘 모르겠니
So let's dance
Just shake it let's dance
좀 더 핫하게 완전 와일드하게
Make it louder 우우우
더 크게 make it louder 우우우
날 자꾸 흔들어 흔들어
놀라게 흔들어
Shake it oh shake it
밤새 나와 Shake it baby
Shake it oh shake it
Shake it up shake it for me
Shake it oh shake it
Shake it up shake it for me
Shake it oh shake it
Shake it up shake it for me
Shake it oh shake it
Shake it up shake it for me
Shake it for me my baby
Shake it for me my baby
그렇게 모두 모여 dance
Just shake it let's dance
좀 더 핫하게 완전 와일드하게
Make it louder 우우우
더 크게 make it louder 우우우
날 자꾸 흔들어 흔들어
놀라게 흔들어
Shake it oh shake it
밤새 나와 Shake it baby",478102836 509588891
36381766,Jelly Pop,BOYS PLANET,댄스,BOYS PLANET - FINAL TOP9 BATTLE,김안나,임수호,20230421,https://cdnimg.melon.co.kr/cm2/album/images/112/27/284/11227284_20230419120432_500.jpg?521e4abd660ad6e679b747c471e99ab3/melon/resize/282/quality/80/optimize,433,14892,"La la la 첨 맛보는 Jelly Pop
La la la 날 네 맘에 녹여봐
Hey baby 난 한 가지 맛이 아니야
매 순간 다른 맛에 깜짝 놀라봐
I'm spicy and sweetie
꽤 자극적인 그런 Jelly
널 스며들어 가
눈 뜨면 찾아 날
말랑말랑해 보이겠지만
삼키면 전기가 찌릿 차올라
턱 끝이 아려도 좋아 Oh no
Baby 너도 Same same same
자꾸 내가 맴 맴 맴
맴돌지 딱 한 번의 Bite
Yeah 끈적해서 뗄 수가 없는 그런 맛
고민할 거 없어
다 가져 난 수많은 Flavor니까 Yeah
참지 말고 Pick up
혹해버린 맘 내겐 숨기지 마
Oh baby 난 네 Jelly
Like sugar 나를 녹여봐 네 심장에 Oh wow
Oh 멈추지 마 Jelly
날 삼킨 순간 다시 날 찾게 되지 Oh wow
쫄깃한 Jelly Pop Pop 설렘 팡팡 떨려 와와
Hey 난 네 Jelly
맛맛 보면 막막 끌려 확확
Pop Pop yeah
Oh 남김없이 Taste it
내 향기로만 널 가득 채울 테니 Oh wow
Hey 그 다음 Kiss me
La la la Hey 눌러줘 너의 Like like like
That’s why 누를수록 중독될 촉감
So sweet So hot 정의 불가
한 번으론 부족하지 잘 알아
널 바라보는 내 눈빛 Chocolate
향이 나 (That you like)
막 두근대는 이 느낌 Strawberry
맛이 나 (딱 네 취향이지)
잡힐 듯 말 듯 하지만
네게는 착 달라붙는 그런 맛
미워도 난 또 생각나 Oh no
Baby 나도 Same same same
자꾸 너만 Play play play
꿈에도 네가 보여 난 Oh no
Oh baby 난 네 Jelly
Like sugar 나를 녹여봐 네 심장에 Oh wow
Oh 멈추지 마 Jelly
날 삼킨 순간 다시 날 찾게 되지 Oh wow
아찔한 Jelly Pop Pop 맘이 쾅쾅 떨려 와와
Hey 난 네 Jelly
맛맛 보면 막막 끌려 확확
Pop Pop yeah
Oh 너만 아는 Jelly
내 수백 가지 매력에 빠져 Baby oh wow
Hey, are you ready?
Baby 너의 날 Make it
0에서 널 더하면
우리는 하나가 될 테니까
Now 지금이야
두 눈에 넘치게 날 담아봐
Oh baby 난 네 Jelly
Like sugar 나를 녹여봐 네 심장에 Oh wow
Oh 멈추지 마 Jelly
날 삼킨 순간 다시 날 찾게 되지 Oh wow
아찔한 Jelly Pop Pop 맘이 쾅쾅 떨려 와와
Hey 난 네 Jelly
맛맛 보면 막막 끌려 확확
Pop Pop yeah
Oh 너만 아는 Jelly
내 수백 가지 매력에 빠져 Baby oh wow
Hey, are you ready?",478102836 400925557
35371300,I LOVE U,WINNER,댄스,HOLIDAY,강승윤,MINO (송민호),20220705,https://cdnimg.melon.co.kr/cm2/album/images/109/97/520/10997520_20220705113945_500.jpg?39df431c8b403996cedf1a70cf575104/melon/resize/282/quality/80/optimize,839,55854,"나도 이럴 줄 몰랐어
사랑에 빠진 싸이코
갇혀 버린 걸까
생각에 하루 종일
난 궁금해 너의 매일
은밀한 그 모든 게
너와 입을 맞추고
밤새도록 흔들고 싶어
내 어깨에
편하게 기대어줄래
우린 로맨틱한 영화 속
주인공 같아
빙빙 안 돌려 난 straight
밍밍하지만 담백한
진심을 네게 전할게
윙윙 울리게
I LOVE U hoo
귀에 못 박히게 또 또 말해 줄래
I LOVE U hoo
나보다 네가 더 좋아 (좋아) 그게 다야
Umm
Clap your hands
얼굴이 부티 나 헤벌레 
Umm
Day by day 마음에 불이 나
그래 이 노랜
클리셰 덩어리 토픽 LOVE love sick
어찌하냐 눈에 박힌 콩깍지
아카시아꽃이 두 뺨에 피었지
곱게 개인 설렘을 꺼내 덮지 
Yeah 말풍선을 보내 버블버블
Yeah 핑크빛이 몸에 얼룩덜룩
Yeah 이리로 갔다 저리로 갔다 비벼 환상
안정감이 내 방에 더블더블 
내 어깨에
편하게 기대어줄래
우린 로맨틱한 영화 속
주인공 같아
빙빙 안 돌려 난 straight
밍밍하지만 담백한
진심을 네게 전할게
윙윙 울리게
I LOVE U hoo
귀에 못 박히게 또 또 말해 줄래
I LOVE U hoo
나보다 네가 더 좋아 (좋아) 그게 다야
Every night with you
깨기 싫은 꿈
전부 너라서 난 충분해
Baby it’s okay 
네 입술에
또 말해 줄게
My baby
내일 당장이라도 세상이 
다 무너지면 어떡해
지금 잠깐만이라도 내 마음이 
시키는 대로 살래 
온 낭만들이 전부
사라져버린 딱딱한 세상에
난 당당하게 너를 
사랑한다고 크게 소리칠래
I LOVE U hoo
나보다 네가 더 좋아 (좋아) 그게 다야",478102836 402141579
34539150,DM,프로미스나인,댄스,Midnight Guest,조수진,구태우,20220117,https://cdnimg.melon.co.kr/cm2/album/images/108/42/783/10842783_20220117113727_500.jpg?f7c9885e15312fb5c6b51daa828f6684/melon/resize/282/quality/80/optimize,1248,61750,"Hey you 지금 뭐 해
잠깐 밖으로 나올래
네가 보고 싶다고
거울 속의 난 So perfect
새로 산 신발도 Check it okay
잠든 도시를 깨워 Late night late night
더 더 더 두근거려
거리마다 빛나는 Spotlight spotlight
네게 가까워질 때
Ah woo woo woo
내 입가에 미소가 번져
네 눈 속에 My eyes
떨려와 Yeah
달콤하게 속삭일래
간직했던 내 맘을
Yeah it’s you
Doesn’t matter
특별한 Me and you
가까이 갈래 I want to
눈을 못 피하게
말도 못 돌리게
너만 좋다면
Doesn’t matter
망설이지 말고 네 마음을 더 보여줘
네 손을 잡을래
너를 꼭 안을래
좋아해 널 내 맘은 I want you
기다리다 놓쳐 날
너도 알잖아 난 Special Woo
원하는 건 딱 하나
모두 알잖아
다 티가 나는 걸
장난이 아니야 난
욕심이 생겼어 난
이대로 널 보낼 순 없어
Ah woo woo woo
네 미소에 내 맘이 떨려
내 두 볼에 Red light
번져와 Yeah
솔직하게 말해볼래
숨겨왔던 내 맘은
Yeah it’s you
Doesn’t matter
특별한 Me and you
가까이 갈래 I want to
눈을 못 피하게
말도 못 돌리게
너만 좋다면
Doesn’t matter
망설이지 말고 네 마음을 더 보여줘
네 손을 잡을래
너를 꼭 안을래
좋아해 널 내 맘은 I want you
So just listen 떨리는 내 손을 잡아줘
넌 So special 매일 밤 기다린 지금 이 순간
You’re the one that I needed
나와 같다고 말해줘
이 밤이 끝나기 전에
Doesn’t matter
시작해 Me and you
느낌이 좋아 I got you
어떡해 너와 나
이렇게 가까이
네 맘이 보여
Doesn’t matter
주저하지 말고 네 두 팔로 날 안아줘
어쩌면 너와 나
마주한 이 순간
좋아해 난 너만을 I want you",478102836 510005497
2212365,I Don't Care,2NE1,댄스,2NE1 1st Mini Album,TEDDY,김병훈,20090708,https://cdnimg.melon.co.kr/cm/album/images/005/98/055/598055_500.jpg/melon/resize/282/quality/80/optimize,243,69183,"hey playboy
it's about time and your time's up
I had to do this one for my girls
you know
sometime you gotta act like
you don't care
that's the only way you boys learn
Oh oh oh oh oh oh 2ne1
Oh oh oh oh oh oh 2ne1
니 옷깃에 묻은 립스틱들
나는 절대로 용서못해
매일 하루에 수십번 꺼져있는 핸드폰
변하지 않을 것만 같아 oh oh
그저 친구라는 수많은 여자친구
날 똑같이 생각하지 마
I won't let it fight
이제 니 맘대로 해 난 미련은 버릴래
한땐 정말 사랑했는데 oh oh
가끔씩 술에 취해 전활 걸어
지금은 새벽 다섯시 반
넌 또 다른 여자애 이름을 불러
no no
I don't care 그만할래
니가 어디에서 뭘 하던
이제 정말 상관 안할게 비켜줄래
이제와 울고불고 매달리지마
cause I don't care e e e e e
I don't care e e e e e
cause I don't care e e e e e
I don't care e e e e e
Boy I don't care
다른 여자들의 다리를 훔쳐보는
니가 너무너무 한심해
매일 빼놓는 커플링
나 몰래 한 소개팅
더 이상 못 참을 것 같아 oh oh
넌 절대 아니라는 수많은 나의 친구
난 너 땜에 친구들까지 다 잃었지만
차라리 홀가분해 너에게 난 과분해
내 사랑이라 믿었는데 oh oh
오늘도 바쁘다고 말하는 너
혹시나 전화해봤지만
역시 뒤에선 여자 웃음소리가 들려
oh no
I don't care 그만할래
니가 어디에서 뭘 하던
이제 정말 상관 안할게 비켜줄래
이제와 울고불고 매달리지마
cause I don't care e e e e e
I don't care e e e e e
cause I don't care e e e e e
I don't care e e e e e
Boy I don't care
난 너 땜에 울며 지새던
밤을 기억해 boy
더 후회할 날 생각하면
맘이 시원해 boy
날 놓치긴 아깝고 갖기엔 시시하잖니
있을 때 잘하지
너 왜 이제와 매달리니
속아준 거짓말만 해도 수백번
오늘 이후로 난 남자 울리는 bad girl
이젠 눈물 한방울 없이 널 비웃어
사랑이란 게임 속 loser
무릎꿇고 잘못을 뉘우쳐
아님 눈 앞에서 당장 꺼져
I don't care 그만할래
니가 어디에서 뭘 하던
이제 정말 상관 안할게 비켜줄래
이제와 울고불고 매달리지마
you know I don't care e e e e e e
I don't care e e e e e
I don't care e e e e e
I don't care e e e e e
Boy I don't care",442706386 100098263
