"동별(1)",동별(2),2022 4/4,2022 4/4,2022 4/4,2022 4/4,2022 4/4,2022 4/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4,2023 1/4
"동별(1)",동별(2),세대 (세대),계,한국인,등록외국인,세대당인구,65세이상고령자,세대 (세대),계,한국인,등록외국인,세대당인구,65세이상고령자
"합계",소계,4446296,9667669,9428372,239297,2.12,1667411,4463385,9668008,9426404,241604,2.11,1690961
"합계",종로구,72524,152211,141379,10832,1.95,27958,72679,152212,141060,11152,1.94,28265
"합계",중구,63139,130785,120437,10348,1.91,25055,63862,131390,120963,10427,1.89,25353
"합계",용산구,109805,233284,218650,14634,1.99,39037,109735,232482,217756,14726,1.98,39478
"합계",성동구,133305,288234,281000,7234,2.11,47720,133513,287240,280240,7000,2.10,48238
"합계",광진구,169291,351252,337416,13836,1.99,54071,169787,350925,336801,14124,1.98,54854
"합계",동대문구,169873,353601,336644,16957,1.98,64468,171140,354884,337574,17310,1.97,65154
"합계",중랑구,187413,390140,385318,4822,2.06,74920,187898,389928,385003,4925,2.05,76116
"합계",성북구,197082,441984,430397,11587,2.18,77475,197859,441855,430100,11755,2.17,78427
"합계",강북구,144313,297702,293660,4042,2.03,66307,144557,296934,292762,4172,2.03,67056
"합계",도봉구,138356,313989,311694,2295,2.25,66998,138376,312858,310509,2349,2.24,68114
"합계",노원구,217540,508014,503734,4280,2.32,92040,218341,506989,502515,4474,2.30,93279
"합계",은평구,213876,470602,466746,3856,2.18,89650,213989,468766,464871,3895,2.17,90556
"합계",서대문구,145797,319554,306337,13217,2.10,55996,147146,321966,308437,13529,2.10,56785
"합계",마포구,180084,375585,364638,10947,2.02,55914,181034,376542,365570,10972,2.02,56582
"합계",양천구,181187,444010,440881,3129,2.43,72393,181072,442345,439219,3126,2.43,73522
"합계",강서구,273697,574638,569166,5472,2.08,97128,274283,573711,568287,5424,2.07,98659
"합계",구로구,183655,418418,395315,23103,2.15,75890,184268,417983,395183,22800,2.14,77259
"합계",금천구,119583,242818,229642,13176,1.92,42928,120051,242467,229307,13160,1.91,43772
"합계",영등포구,188832,398085,375675,22410,1.99,64810,190252,398999,376614,22385,1.98,66014
"합계",동작구,185773,390432,380596,9836,2.05,68231,186534,390377,380201,10176,2.04,68766
"합계",관악구,283623,501226,486752,14474,1.72,82447,285914,502628,487815,14813,1.71,83420
"합계",서초구,167749,408451,404325,4126,2.41,62347,168234,408979,404831,4148,2.41,63328
"합계",강남구,232777,534103,529102,5001,2.27,81715,234735,537817,532798,5019,2.27,83097
"합계",송파구,284853,664514,658801,5713,2.31,103573,285489,663704,658006,5698,2.30,105161
"합계",강동구,202169,464037,460067,3970,2.28,78340,202637,464027,459982,4045,2.27,79706
